path,reasons,subject,note
All Seasons 3-in-1 Bamboo Quilt/No Talent/AllSeasonsQuilt-CloseUp-NoTalent-Real-01.jpg,old branding; weak shot,quilt corner close-up showing two brand care tags,old lowercase ecoy wordmark on both visible tags
Bamboo Flat Sheet/Solid/Black/BambooFlatSheet-Solid-Black-CloseUp-NoTalent-Real-01.jpg,weak shot,close crop of rumpled dark flat sheet fabric,"very underexposed, hard to confirm true black vs navy"
Bamboo Flat Sheet/Solid/Charcoal/BambooFlatSheet-Solid-Charcoal-CloseUp-NoTalent-Real-01.jpg,weak shot,"close crop of dark fabric fold, very low light","very dark, hard to make out fabric detail"
Bamboo Flat Sheet/Solid/Jacaranda/BambooFlatSheet-Solid-Jacaranda-CloseUp-NoTalent-Real-01.jpg,weak shot,"close crop of draped fabric folds, no landmarks","very low contrast, hard to tell it's a product shot"
Bamboo Flat Sheet/Solid/Midnight Pine/BambooFlatSheet-Solid-MidnightPine-CloseUp-NoTalent-Real-01.jpg,weak shot,close crop of very dark fabric folds,so dark the colour is indistinguishable from black
Bamboo Pillowcase Set/Solid/Charcoal/BambooPillowcase-Solid-Charcoal-Deepetch-NoTalent-Real-01.png,old branding,black product packaging box for pillowcase set,box uses old lowercase rounded 'ecoy' wordmark
Bamboo Quilt Cover Set/Solid/Black/No Talent/BambooQuiltCover-Solid-Black-CloseUp-NoTalent-Real-02.jpg,weak shot,very dark close crop of pillows and quilt in shadow,"underexposed, hard to read shape/texture"
Bamboo Quilt Cover Set/Solid/Chocolate/No Talent/BambooQuiltCover-Solid-Chocolate-CloseUp-NoTalent-Real-01.jpg,old branding,product in brown fabric carry bag with branded hang tag,bag and tag show old lowercase 'ecoy' wordmark
Bamboo Quilt Cover Set/Solid/Eggplant/No Talent/BambooQuiltCover-Solid-Eggplant-Freestyle-NoTalent-Real-01.jpg,weak shot,very dark night scene of bed with plum bedding near plants,"badly underexposed night shot, setting and colour hard to verify"
Bamboo Quilt Cover Set/Solid/Midnight Pine/No Talent/BambooQuiltCover-Solid-MidnightPine-High45-NoTalent-Real-01.jpg,weak shot; production artefact in frame,"man beside dark green quilt bed, TV and boom mic rig visible",filename says NoTalent but a person and a ceiling boom/rig are in frame; looks like a BTS shot
Bamboo Quilt Cover Set/Solid/Oatmeal/No Talent/BambooQuiltCover-Solid-Oatmeal-CloseUp-NoTalent-Real-01.jpg,old branding; weak shot,close crop of white fabric with printed ecoy wordmark and tag,old lowercase ecoy wordmark printed on fabric and on tag
Bamboo Sheet Set/Solid/Black/No Talent/BambooSheetSet-Solid-Black-Side-NoTalent-Real-01.jpg,weak shot,"framed plant photo dominates frame, black sheets only at bottom edge","product barely visible, framed foliage art dominates the shot"
Bamboo Sheet Set/Solid/Caramel/No Talent/BambooSheetSet-Solid-Caramel-Overhead-NoTalent-Real-01.jpg,weak shot,"dim, low-angle shot of rumpled caramel sheets against cluttered room",underexposed and cluttered background; not an overhead angle despite filename
Bamboo Sheet Set/Solid/Forest Green/No Talent/BambooSheetSet-Solid-ForestGreen-Deepetch-NoTalent-Real-01.png,old branding,"dark green retail packaging box, not the sheets themselves",filename implies a product cutout but image is the box; old lowercase 'ecoy' logo printed on it
Bamboo Sheet Set/Solid/Lagoon/BambooSheetSet-Solid-Lagoon-High45-NoTalent-Real-01.jpg,production artefact in frame,teal sheet set on wood bed with small object left on top,"small dark object, possibly a phone, left on the bed"
Bamboo Sheet Set/Solid/Midnight Pine/No Talent/BambooSheetSet-Solid-MidnightPine-High45-NoTalent-Real-01.jpg,production artefact in frame,overhead room shot of dark green sheets with plant and TV,camera boom arm visible in top-left corner
Bamboo Sheet Set/Solid/Sage/No Talent/BambooSheetSet-Solid-Sage-CloseUp-NoTalent-Real-01.jpg,old branding; weak shot,"drawstring pouch on sheets, printed old-style logo and product tag","lowercase 'ecoy' wordmark on pouch; product colour not visible, sheet colour is cream not sage"
Bamboo Sleep Mask/Butter/SleepMask-Solid-Butter-Deepetch-NoTalent-Real-01.jpg,old branding,butter yellow sleep mask product cutout on white background,embroidered lowercase 'ecoy' logo visible on mask
Bamboo Sleep Mask/Butter/SleepMask-Solid-Butter-Overhead-NoTalent-Real-01.jpg,old branding,"sleep mask laid flat on rumpled sheet, overhead shot",small embossed lowercase 'ecoy' wordmark on mask corner
Bamboo Sleep Mask/Charcoal/SleepMask-Solid-Charcoal-Overhead-NoTalent-Real-01.jpg,weak shot,black sleep mask laid on black draped fabric,low contrast black-on-black makes product hard to see
Bamboo Sleep Mask/Eggplant/SleepMask-Solid-Eggplant-Overhead-NoTalent-Real-01.jpg,old branding,folded plum sleep mask on rumpled fabric with embroidered logo,embroidered logo reads as old lowercase ecoy wordmark
Bamboo Sleep Mask/Iceberg/SleepMask-Solid-Iceberg-Deepetch-NoTalent-Real-01.jpg,old branding,pale blue sleep mask product cutout on white background,embroidered lowercase 'ecoy' logo visible on mask
Bamboo Sleep Mask/Iceberg/SleepMask-Solid-Iceberg-Overhead-NoTalent-Real-01.jpg,old branding,"sleep mask laid flat on rumpled sheet, overhead shot",small embossed lowercase 'ecoy' wordmark on mask corner
Corduroy Quilt Cover Set/Solid/Charcoal/No Talent/CordQuiltCover-Solid-Charcoal-High45-NoTalent-Real-01.jpg,weak shot; production artefact in frame,"styled bed with charcoal quilt cover, camera boom visible overhead",camera boom/tripod arm visible in shot
Corduroy Quilt Cover Set/Solid/Midnight Pine/No Talent/CordQuiltCover-Solid-MidnightPine-High45-NoTalent-Real-01.jpg,production artefact in frame,"styled bed with dark green bedding, ceiling fan, framed art",camera boom/production equipment visible in shot
Corduroy Quilt Cover Set/Solid/Oatmeal/No Talent/CordQuiltCover-Solid-Oatmeal-Freestyle-NoTalent-Real-01.jpg,old branding,packaged quilt cover set on plinth against textured backdrop,small 'ecoy' wordmark on label appears in lowercase old-logo style
Corduroy Quilt Cover Set/Solid/Oatmeal/No Talent/CordQuiltCover-Solid-Oatmeal-High45-NoTalent-Real-01.jpg,production artefact in frame,"styled bed with oatmeal bedding, ceiling fan, framed art",camera boom/production equipment visible in shot
Corduroy Quilt Cover Set/Solid/Sage/No Talent/CordQuiltCover-Solid-Sage-High45-NoTalent-Real-01.jpg,weak shot; production artefact in frame,"styled bed with sage quilt cover, stray foot visible in corner",an unintended foot is visible in the bottom-left corner
Flannelette Pillowcase Set/Solid/Eggplant/FlannelPillowcase-Solid-Eggplant-Deepetch-NoTalent-Real-01.png,old branding,two folded eggplant pillowcases stacked on white background,small tags show old lowercase ecoy wordmark
Flannelette Pillowcase Set/Solid/Forest Green/FlannelPillowcase-Solid-ForestGreen-Deepetch-NoTalent-Real-01.png,old branding,two folded forest green pillowcases stacked with branded label,label tag shows old lowercase 'ecoy' wordmark
Flannelette Pillowcase Set/Solid/Jacaranda/FlannelPillowcase-Solid-Jacaranda-Deepetch-NoTalent-Real-01.png,old branding,"folded lavender pillowcases stacked, product shot on white",old lowercase 'ecoy' logo visible on fold tag
